Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
"2,4,5-Trichlorophenoxyacetic Acid",D015085,93-76-5,Acute Kidney Injury,MESH:D058186,,ALB|EPHX2|HMOX1,3.23,6
"2,4-di-tert-butylphenol",C056559,,Acute Kidney Injury,MESH:D058186,,SPP1,3.23,2
8-epidiosbulbin E acetate,C534602,,Acute Kidney Injury,MESH:D058186,,UGT1A1,3.23,1
bis(cysteinato)zincate(lI),C583563,,Acute Kidney Injury,MESH:D058186,,HMOX1,3.23,1
Cardiotonic Agents,D002316,,Acute Kidney Injury,MESH:D058186,,HMOX1,3.23,1
diglycolic acid,C571256,,Acute Kidney Injury,MESH:D058186,,HMOX1,3.23,1
dimethyl sulfate,C007482,77-78-1,Acute Kidney Injury,MESH:D058186,,HMOX1,3.23,1
ebastine,C058249,90729-43-4,Acute Kidney Injury,MESH:D058186,,EGFR,3.23,1
Immunologic Factors,D007155,,Acute Kidney Injury,MESH:D058186,,EGFR,3.23,1
mivebresib,C000621792,,Acute Kidney Injury,MESH:D058186,,BAX|EPO|G6PD|HAVCR1|SOD1,3.23,16
Norgestrel,D009644,6533-00-2,Acute Kidney Injury,MESH:D058186,,INS,3.23,1
Thymine,D013941,65-71-4,Acute Kidney Injury,MESH:D058186,,HMOX1,3.23,1
"tris(1,3-dichloro-2-propyl)phosphate",C016805,13674-87-8,Acute Kidney Injury,MESH:D058186,,ATP5F1B|BAX|BDKRB2|CST3|CYP1B1|CYP2C9|EDN1|EGFR|EPHX2|EPO|FSTL1|GPNMB|GSTM2|HAVCR1|HBEGF|HMOX1|HP|HSPA1A|IGF1|IGFBP1|IL10|IL6|KNG1|LCN2|LRG1|LRP2|MIR140|MIR152|MIR192|MIR25|MIR30A|MIRLET7I|MTHFR|NPPA|NQO1|OCLN|POMC|PPARG|SERPINA1|SOD1|SPP1|TFF3|TLR2|TLR4|TNF|TNFRSF12A|TP53|TTR|UGT1A9|VEGFA,3.23,49
valdecoxib,C406224,,Acute Kidney Injury,MESH:D058186,,CCT7|CP|CYP1B1|CYP3A23-3A1|EGFR|IL6|MCOLN1|NQO1|TNF|UOX|VEGFA,3.23,13
